Table S43. Sample information and classifications,,,,,,,,,,
Sample ID,Tip Name,AOS + Howard&Moore Name,AOS + Clements Name,IUCN Name,Howard&Moore Family,Tissue Source,Tissue Number,Voucher Source,Voucher Number,Locality
102,Biatas_nigropec_SP88499,Biatas nigropectus,Biatas nigropectus,Biatas nigropectus,Thamnophilidae,MZUSP,88499,MZUSP,88499,"BRAZIL: Santa Catarina, PARNA Serra do Itajaí, Indaial"
104,Thamphil_dolia_L48534,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,LSUMZ-B,48534,LSUMZ,175398,"GUYANA: Ireng River, 17 km SSW Karasabai"
105,Thamphil_dolia_ICNDCA121,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,ICN,38991,ICN,38991,"COLOMBIA: Casanare, Trinidad, vda. La Cañada, RN La Palmita"
106,Thamphil_dolia_LSU82201,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,LSUMZ-B,82201,LSUMZ,189731,"COSTA RICA: Alajuela, Upala, 9.8 Km ENE Bijagua, 10˚45'34"" N, 85˚00'48"" W, 400m"
107,Thamphil_dolia_LSU81964,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,LSUMZ-B,81964,LSUMZ,189730,"COSTA RICA: Puntarenas, Puntarenas, Garabito, Parque Nacional Carara, 9˚47'35"" N, 84˚36'07"" N, 40m"
108,Thamphil_dolia_LSU46527,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,LSUMZ-B,46527,LSUMZ,178080,"PANAMA: Panamá, Ca 7 km SE Pacora, 9 degrees 2.4' N, 79 degrees 15.1' W"
109,Thamphil_dolia_LSU46645,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,LSUMZ-B,46645,LSUMZ,178807,"PANAMA: Veraguas, Isla Coiba, Sendero los Monos, 7 degres 35.97'N, 77 degrees 43.38'W"
110,Thamphil_dolia_USNM471360,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,USNM,471360 (toepad),USNM,471360,"PANAMA: Panamá, Archipiélago de las Perlas, Isla del Rey, Ensenada"
111,Thamphil_dolia_ANSP168260,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,ANSP,168260 (toepad),ANSP,168260,COLOMBIA: Tolima
113,Thamphil_dolia_LSU69823,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,LSUMZ-B,69823,UF,46562,"TRINIDAD & TOBAGO: Trinidad, St George Co., 2.7km SW Morne Bleu	10 43.0 N, 61 18.6 W"
114,Thamphil_dolia_LSU38980,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,LSUMZ-B,38980,UWBM,RTB-590,"BOLIVIA: Santa Cruz, Cordillera, 10.6 km E. Abapo"
115,Thamphil_dolia_LSU46193,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,LSUMZ-B,46193,MHNSM,JMR-750,"PERU: San Martín, Upaquilava, ca 26 km SSE Tarapoto, ca 300 m 6 degrees 43' S/ 76 degrees 22' W"
117,Thamphil_dolia_LSU14854,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,LSUMZ-B,14854,LSUMZ,150713,"BOLIVIA: santa Cruz, Serrania de Huanchaca;, 21 km SE Catarata Arco Iris "
118,Thamphil_dolia_MZU90071,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,MZUSP,90071,MZUSP,90071,"BRAZIL: Pará, Santana do Araguaia, Fazenda Fartura"
119,Thamphil_dolia_MCP3129,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilus doliatus,Thamnophilidae,MCP,3129,MCP,3129,"BRAZIL: Bahia, arredores de Flores"
120,Thamphil_rufcap_MZUSP85427,Thamnophilus ruficapillus,Thamnophilus ruficapillus,Thamnophilus ruficapillus,Thamnophilidae,MZUSP,85427,MZUSP,85427,"BRAZIL: Minas Gerais, Santa Bárbara, Fazenda Bocaina"
121,Thamphil_rufcap_LSU32657,Thamnophilus ruficapillus,Thamnophilus ruficapillus,Thamnophilus ruficapillus,Thamnophilidae,LSUMZ-B,32657,LSUMZ,169878,"PERU: Cajamarca, Quebrada Las Palmas, ca 13 km WSW Chonali; 5 degrees 40.0' S, 79 degrees 12.2' W"
122,Thamphil_rufcap_LSU58333,Thamnophilus ruficapillus,Thamnophilus ruficapillus,Thamnophilus ruficapillus,Thamnophilidae,LSUMZ-B,58333,LSUMZ,179677,"PERU: Puno, Abra de Maruncunca, 14 degrees 12' S, 69 degrees 13' W"
124,Thamphil_rufcap_LSU38230,Thamnophilus ruficapillus,Thamnophilus ruficapillus,Thamnophilus ruficapillus,Thamnophilidae,LSUMZ-B,38230,LSUMZ,168935,"BOLIVIA: Santa Cruz, La Pajcha, ca 28 km S Samaipata, 18 degrees 23.8'S 63 degrees 49.4' W"
126,Thamphil_tortus_LSU13900,Thamnophilus torquatus,Thamnophilus torquatus,Thamnophilus torquatus,Thamnophilidae,LSUMZ-B,13900,LSUMZ,151662,"BOLIVIA: Santa Cruz, Serrania de Huanchaca, 45 km E Florida"
127,Thamphil_zarum_LSU67251,Thamnophilus zarumae,Thamnophilus zarumae,Thamnophilus zarumae,Thamnophilidae,LSUMZ-B,67251,LSUMZ,183135,"PERU: Tumbes, Parque Nacional Cerros de Amotape,Quebrada El Barco 04°09'53''S 80°37'51''W"
128,Thamphil_zarum_LSU191,Thamnophilus zarumae,Thamnophilus zarumae,Thamnophilus zarumae,Thamnophilidae,LSUMZ-B,191,LSUMZ,97676,"PERU: Piura, Km 34 on Olmos-Bagua Chica Hwy"
130,Thamphil_multus_IAvH2359,Thamnophilus multistriatus,Thamnophilus multistriatus,Thamnophilus multistriatus,Thamnophilidae,IAvH-CT,2359,IAvH,12330,"COLOMBIA: Valle del Cauca, Buga, Laguna de Sonso"
134,Thamphil_tentus_B1686,Thamnophilus tenuepunctatus,Thamnophilus tenuepunctatus,Thamnophilus tenuepunctatus,Thamnophilidae,ANSP,1686,ANSP,181618,"ECUADOR: Zamora-Chinchipe, Near Zumba"
135,Thamphil_tentus_LSU44648,Thamnophilus tenuepunctatus,Thamnophilus tenuepunctatus,Thamnophilus tenuepunctatus,Thamnophilidae,LSUMZ-B,44648,LSUMZ,173966,"PERU: San Martín, Ca 33 km NE Florida, 5º 41' 14""S, 77º 38' 09"" W "
