taxon,nsites,ngenes,species,genus,family,order
Aegotheles_insignis,31845,31,Aegotheles_insignis,Aegotheles,Aegothelidae,Caprimulgiformes
Hemiprocne_mystacea,23955,25,Hemiprocne_mystacea,Hemiprocne,Apodidae,Apodiformes
Streptoprocne_zonaris,28780,28,Streptoprocne_zonaris,Streptoprocne,Apodidae,Apodiformes
Chaetura_pelagica,16836,17,Chaetura_pelagica,Chaetura,Apodidae,Apodiformes
Phaethornis_griseogularis,13067,15,Phaethornis_griseogularis,Phaethornis,Trochilidae,Apodiformes
Topaza_pella,20400,23,Topaza_pella,Topaza,Trochilidae,Apodiformes
Florisuga_mellivora,9755,10,Florisuga_mellivora,Florisuga,Trochilidae,Apodiformes
Colibri_coruscans,24513,24,Colibri_coruscans,Colibri,Trochilidae,Apodiformes
Steatornis_caripensis,36449,34,Steatornis_caripensis,Steatornis,Steatornithidae,Caprimulgiformes
Podargus_strigoides,33858,32,Podargus_strigoides,Podargus,Podargidae,Caprimulgiformes
Batrachostomus_septimus,21574,20,Batrachostomus_septimus,Batrachostomus,Batrachostomatidae,Caprimulgiformes
Eurostopodus_mystacalis,21912,21,Eurostopodus_mystacalis,Eurostopodus,Eurostopodidae,Caprimulgiformes
Lyncornis_macrotis,29600,29,Lyncornis_macrotis,Lyncornis,Caprimulgidae,Caprimulgiformes
Gactornis_enarratus,5244,3,Gactornis_enarratus,Gactornis,Caprimulgidae,Caprimulgiformes
Caprimulgus_macrurus,7628,6,Caprimulgus_macrurus,Caprimulgus,Caprimulgidae,Caprimulgiformes
Opisthocomus_hoazin,44287,42,Opisthocomus_hoazin,Opisthocomus,Opisthocomidae,Opisthocomiformes
Psophia_crepitans,29454,25,Psophia_crepitans,Psophia,Psophiidae,Gruiformes
Grus_japonensis,8921,9,Grus_japonensis,Grus,Gruidae,Gruiformes
Aramus_guarauna,31270,32,Aramus_guarauna,Aramus,Aramidae,Gruiformes
Heliornis_fulica,26714,25,Heliornis_fulica,Heliornis,Heliornithidae,Gruiformes
Sarothrura_elegans,21572,22,Sarothrura_elegans,Sarothrura,Rallidae,Gruiformes
Rallus_limicola,28656,26,Rallus_limicola,Rallus,Rallidae,Gruiformes
Burhinus_bistriatus,28265,27,Burhinus_bistriatus,Burhinus,Burhinidae,Charadriiformes
Chionis_albus,18666,18,Chionis_albus,Chionis,Chionididae,Charadriiformes
Pluvianellus_socialis,11092,9,Pluvianellus_socialis,Pluvianellus,Charadriidae,Charadriiformes
Pluvianus_aegyptius,8085,6,Pluvianus_aegyptius,Pluvianus,Glareolidae,Charadriiformes
Haematopus_palliatus,23609,22,Haematopus_palliatus,Haematopus,Haematopodidae,Charadriiformes
Ibidorhyncha_struthersii,2504,3,Ibidorhyncha_struthersii,Ibidorhyncha,Charadriidae,Charadriiformes
Recurvirostra_americana,10729,9,Recurvirostra_americana,Recurvirostra,Recurvirostridae,Charadriiformes
Charadrius_vociferus,32546,29,Charadrius_vociferus,Charadrius,Charadriidae,Charadriiformes
Pedionomus_torquatus,32584,29,Pedionomus_torquatus,Pedionomus,Pedionomidae,Charadriiformes
Thinocorus_orbignyianus,28053,26,Thinocorus_orbignyianus,Thinocorus,Thinocoridae,Ciconiiformes
Rostratula_benghalensis,31055,27,Rostratula_benghalensis,Rostratula,Rostratulidae,Charadriiformes
Jacana_jacana,39236,32,Jacana_jacana,Jacana,Jacanidae,Charadriiformes
Scolopax_rusticola,8677,8,Scolopax_rusticola,Scolopax,Scolopacidae,Charadriiformes
Turnix_varia,10426,11,Turnix_varia,Turnix,Turnicidae,Charadriiformes
Dromas_ardeola,13803,15,Dromas_ardeola,Dromas,Dromadidae,Charadriiformes
Stiltia_isabella,6474,5,Stiltia_isabella,Stiltia,Glareolidae,Charadriiformes
Stercorarius_skua,16826,12,Stercorarius_skua,Stercorarius,Stercorariidae,Charadriiformes
Alca_torda,11101,10,Alca_torda,Alca,Alcidae,Charadriiformes
Uria_aalge,9850,9,Uria_aalge,Uria,Alcidae,Charadriiformes
Alle_alle_polaris,7355,6,Alle_alle_polaris,Alle,Alcidae,Charadriiformes
Rynchops_niger,14180,13,Rynchops_niger,Rynchops,Laridae,Charadriiformes
Anous_tenuirostris,8126,8,Anous_tenuirostris,Anous,Laridae,Charadriiformes
Gygis_alba,8357,8,Gygis_alba,Gygis,Laridae,Charadriiformes
Sterna_forsteri,6322,6,Sterna_forsteri,Sterna,Laridae,Charadriiformes
Larus_marinus,37163,36,Larus_marinus,Larus,Laridae,Charadriiformes
Aptenodytes_patagonicus,34618,30,Aptenodytes_patagonicus,Aptenodytes,Spheniscidae,Sphenisciformes
Spheniscus_humboldti,16033,15,Spheniscus_humboldti,Spheniscus,Spheniscidae,Sphenisciformes
Eudyptes_chrysolophus,8365,8,Eudyptes_chrysolophus,Eudyptes,Spheniscidae,Sphenisciformes
Thalassarche_bulleri,4669,3,Thalassarche_bulleri,Thalassarche,Diomedeidae,Procellariiformes
Pelecanoides_urinatrix,23251,23,Pelecanoides_urinatrix,Pelecanoides,Pelecanoididae,Procellariiformes
Oceanites_oceanicus,32201,29,Oceanites_oceanicus,Oceanites,NA,NA
Oceanodroma_tethys,29800,30,Oceanodroma_tethys,Oceanodroma,NA,NA
Puffinus_yelkouan,5249,6,Puffinus_yelkouan,Puffinus,Procellariidae,Procellariiformes
Ciconia_ciconia,40416,39,Ciconia_ciconia,Ciconia,Ciconiidae,Ciconiiformes
Theristicus_caudatus,6108,8,Theristicus_caudatus,Theristicus,Threskiornithidae,Pelecaniformes
Egretta_tricolor,6612,5,Egretta_tricolor,Egretta,Ardeidae,Pelecaniformes
Tigrisoma_lineatum,5536,7,Tigrisoma_lineatum,Tigrisoma,Ardeidae,Pelecaniformes
Pelecanus_occidentalis,35029,34,Pelecanus_occidentalis,Pelecanus,Pelecanidae,Pelecaniformes
Scopus_umbretta,31640,27,Scopus_umbretta,Scopus,Scopidae,Ciconiiformes
Balaeniceps_rex,37479,33,Balaeniceps_rex,Balaeniceps,Balaenicipitidae,Ciconiiformes
Fregata_magnificens,32743,31,Fregata_magnificens,Fregata,Fregatidae,Pelecaniformes
Anhinga_anhinga,30243,28,Anhinga_anhinga,Anhinga,Anhingidae,Pelecaniformes
Phalacrocorax_carbo,30384,33,Phalacrocorax_carbo,Phalacrocorax,Phalacrocoracidae,Pelecaniformes
Sula_leucogaster,21085,23,Sula_leucogaster,Sula,Sulidae,Pelecaniformes
Cathartes_aura,40386,37,Cathartes_aura,Cathartes,Cathartidae,Accipitriformes
Vultur_gryphus,15781,16,Vultur_gryphus,Vultur,Cathartidae,Accipitriformes
Sagittarius_serpentarius,40578,37,Sagittarius_serpentarius,Sagittarius,Sagittariidae,Accipitriformes
Pandion_haliaetus,39873,36,Pandion_haliaetus,Pandion,Pandionidae,Accipitriformes
Elanus_caeruleus,7070,5,Elanus_caeruleus,Elanus,Accipitridae,Accipitriformes
Buteo_jamaicensis,45345,40,Buteo_jamaicensis,Buteo,Accipitridae,Accipitriformes
Ninox_scutulata,5850,6,Ninox_scutulata,Ninox,Strigidae,Strigiformes
Athene_cunicularia,27947,29,Athene_cunicularia,Athene,Strigidae,Strigiformes
Strix_occidentalis,27834,29,Strix_occidentalis,Strix,Strigidae,Strigiformes
Tyto_alba,40673,36,Tyto_alba,Tyto,Tytonidae,Strigiformes
Phodilus_badius,33209,33,Phodilus_badius,Phodilus,Tytonidae,Strigiformes
Leptosomus_discolor,34458,33,Leptosomus_discolor,Leptosomus,Leptosomidae,Coraciiformes
Colius_colius,33286,32,Colius_colius,Colius,Coliidae,Coliiformes
Urocolius_indicus,23808,24,Urocolius_indicus,Urocolius,Coliidae,Coliiformes
Apalharpactes_mackloti,1656,2,Apalharpactes_mackloti,Apalharpactes,Trogonidae,Trogoniformes
Apaloderma_narina,22849,23,Apaloderma_narina,Apaloderma,Trogonidae,Trogoniformes
Trogon_personatus,28874,29,Trogon_personatus,Trogon,Trogonidae,Trogoniformes
Bucorvus_abyssinicus,23364,25,Bucorvus_abyssinicus,Bucorvus,Bucorvidae,Bucerotiformes
